feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__away_lineup_platoon_adv_pct,2,0.5596049723176092,0.6816074773825225,0.24430179503625482,0.6829199930727441,0.6802949616923007,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, away_lineup_platoon_adv_pct",-1.0919318806146272e-05,-7.369642242016639e-07,0.001029484476089526,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_lineup_platoon_adv_pct__home_faces_lhp,2,0.561663347809249,0.6816085915991237,0.24430132790575104,0.6826997174787282,0.6805174657195191,3,"vs_hand_games_scaled_diff, away_lineup_platoon_adv_pct, home_faces_lhp",-9.805102204940574e-06,-1.2040947279801095e-06,0.0030878599677293117,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__lineup_platoon_adv_pct_diff__home_faces_lhp,2,0.5608406419411789,0.681637646372241,0.24431464637090328,0.6829238370498225,0.6803514556946595,3,"away_vs_hand_games_scaled, lineup_platoon_adv_pct_diff, home_faces_lhp",1.9249670912380168e-05,1.211437042425434e-05,0.0022651540996592168,False,False,False,False,False
team_plus_lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct__home_faces_lhp,2,0.559192517242572,0.6816491075601872,0.2443203714203754,0.6828298092705577,0.6804684058498166,3,"lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct, home_faces_lhp",3.07108588585292e-05,1.7839419896387154e-05,0.0006170294010523492,False,False,False,False,False
team_plus_env_temp__lineup_platoon_adv_pct_diff__home_faces_lhp,2,0.561458349582848,0.681649575141025,0.24432428828425892,0.6829633977340202,0.6803357525480297,3,"env_temp, lineup_platoon_adv_pct_diff, home_faces_lhp",3.1178439696355476e-05,2.1756283779900132e-05,0.0028828617413283464,False,False,False,False,False
team_plus_away_vs_hand_games_scaled__away_faces_lhp,2,0.5581637110070992,0.6816663325065733,0.24432760833541126,0.6824736591161363,0.6808590058970103,2,"away_vs_hand_games_scaled, away_faces_lhp",4.793580524464769e-05,2.50763349322336e-05,-0.0004117768344205075,False,False,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__lineup_platoon_adv_pct_diff,2,0.5563101641817061,0.681672394829219,0.24433556116208882,0.6829746218267809,0.6803701678316572,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, lineup_platoon_adv_pct_diff",5.399812789042002e-05,3.302916160979885e-05,-0.0022653236598135784,False,False,False,False,False
team_plus_env_temp__away_faces_lhp__away_lineup_platoon_adv_pct,2,0.560428441206373,0.681703511273861,0.24435086696758146,0.6829494520519336,0.6804575704957884,3,"env_temp, away_faces_lhp, away_lineup_platoon_adv_pct",8.51145725323521e-05,4.83349671024369e-05,0.0018529533648533603,False,False,False,False,False
team_plus_home_faces_lhp,2,0.5587820968893851,0.6817342307698119,0.2443597383287074,0.6826634784805273,0.6808049830590964,1,home_faces_lhp,0.00011583406848325595,5.7206328228365244e-05,0.00020660904786540257,False,False,False,False,False
team_plus_vs_hand_games_scaled_diff__lineup_platoon_adv_pct_diff__home_faces_lhp,2,0.557339902998027,0.6817359905547111,0.24436497395189144,0.6828944617612299,0.6805775193481922,3,"vs_hand_games_scaled_diff, lineup_platoon_adv_pct_diff, home_faces_lhp",0.00011759385338250272,6.244195141241748e-05,-0.0012355848434926209,False,False,False,False,False
